ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
37.78125,38.40625,21.125,29.71875,27.15625,7.9375,15.09375,33.71875,16.3125,12.75
38.75,39.125,20.78125,30.21875,26.90625,8.46875,14.1875,33.8125,15.5,12.25
38.4375,40.9375,21.21875,30.21875,26.6875,7.90625,14.25,33.3125,15.84375,11.1875
38.09375,39.71875,20.53125,31.8125,26.59375,7.84375,14.6875,33.25,15.125,12.34375
39.4375,38.59375,21.625,29.875,27.3125,7.1875,14.9375,33.125,16.53125,11.375
39.375,38.03125,21.53125,31.34375,26.9375,7.9375,14.3125,33.40625,15.46875,11.65625
38.625,38.8125,21.28125,29.71875,26.375,8.15625,14.75,33.53125,16.53125,12.21875
40.28125,38.59375,21.15625,31.0,25.875,7.40625,14.625,33.375,15.5625,12.125
39.65625,40.0,21.28125,29.5625,26.5625,7.34375,14.0,34.5,15.125,11.96875
38.5625,39.40625,20.75,30.65625,26.6875,7.9375,15.1875,32.75,16.0625,12.0
39.375,38.03125,21.96875,29.46875,26.90625,8.15625,14.625,33.0625,16.03125,12.375
37.84375,40.21875,20.625,31.15625,25.84375,7.65625,15.1875,33.59375,15.25,12.625
38.40625,39.71875,21.59375,31.375,26.6875,7.875,14.0,33.28125,15.125,11.9375
38.1875,39.46875,21.0,31.59375,26.25,8.3125,13.875,33.71875,15.8125,11.78125
38.96875,39.375,21.15625,29.78125,28.09375,7.53125,14.75,32.90625,15.6875,11.75
38.1875,39.125,20.96875,29.90625,27.75,8.125,13.71875,34.25,16.5,11.46875
38.71875,39.625,21.03125,29.75,26.21875,8.4375,15.34375,33.875,14.9375,12.0625
39.5,39.8125,21.15625,29.21875,26.8125,7.75,14.53125,34.0625,15.78125,11.375
39.34375,38.875,21.34375,29.625,26.5625,7.46875,14.8125,34.125,15.65625,12.1875
38.09375,38.84375,21.0625,31.0625,27.21875,8.71875,14.4375,33.28125,15.25,12.03125
39.3125,39.21875,21.15625,30.4375,27.25,7.71875,14.4375,33.375,15.125,11.96875
39.375,39.53125,20.78125,31.0,25.90625,7.84375,14.65625,33.15625,16.28125,11.46875
38.84375,40.4375,21.34375,29.59375,27.15625,8.15625,13.75,33.8125,15.59375,11.3125
37.75,39.34375,21.625,30.125,27.625,8.46875,13.0625,33.8125,15.75,12.4375
39.34375,39.875,21.59375,30.0625,26.6875,7.625,14.125,33.125,14.9375,12.625
40.09375,38.28125,20.9375,29.375,27.75,6.9375,14.34375,34.40625,15.84375,12.03125
39.15625,38.34375,21.4375,31.28125,26.75,7.71875,13.28125,33.3125,16.4375,12.28125
38.46875,39.6875,20.90625,30.28125,27.71875,7.96875,15.1875,32.5625,16.03125,11.1875
40.0,39.75,20.78125,30.375,26.0625,7.5625,14.15625,33.8125,15.59375,11.90625
40.0,38.34375,21.1875,30.6875,26.71875,7.65625,13.9375,34.25,15.375,11.84375
38.71875,39.375,21.34375,29.8125,27.15625,7.4375,13.625,34.125,15.59375,12.8125
39.1875,39.25,21.0625,30.6875,27.65625,8.09375,14.9375,32.625,14.71875,11.78125
39.6875,39.1875,20.84375,29.75,26.75,8.09375,14.90625,33.3125,15.625,11.84375
38.40625,39.25,21.1875,31.28125,26.8125,7.71875,13.71875,33.75,15.84375,12.03125
38.90625,38.28125,21.90625,29.6875,28.0,8.375,13.75,33.1875,15.25,12.65625
40.96875,37.40625,21.0,30.375,26.0,8.0,14.34375,33.59375,15.5,12.8125
39.46875,39.0,21.53125,29.8125,26.75,7.375,14.59375,34.625,15.5,11.34375
39.0625,39.875,21.28125,30.5,25.375,8.34375,14.21875,34.0,15.5,11.84375
39.21875,40.125,21.28125,29.84375,26.0,7.3125,15.25,33.5,15.25,12.21875
