ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
22.15625,39.75,13.1875,15.125,27.53125,18.15625,26.65625,12.375,23.96875,35.9375,0.0,0.0,5.15625,0.0,0.0
23.0,38.03125,13.6875,14.375,27.1875,19.21875,26.4375,12.375,25.4375,35.5625,0.0,0.0,4.6875,0.0,0.0
21.71875,39.375,13.59375,14.34375,27.34375,18.75,28.09375,12.28125,23.65625,35.53125,0.0,0.0,5.3125,0.0,0.0
21.09375,39.5,14.03125,14.53125,26.59375,18.34375,26.65625,13.34375,24.96875,36.0,0.0,0.0,4.9375,0.0,0.0
20.9375,39.75,13.53125,15.4375,27.53125,18.53125,27.375,12.90625,24.3125,34.40625,0.0,0.0,5.28125,0.0,0.0
21.8125,38.96875,14.0625,14.59375,28.3125,19.1875,25.46875,13.5,24.0625,34.78125,0.0,0.0,5.25,0.0,0.0
20.96875,39.25,13.59375,15.71875,26.75,18.625,26.65625,11.8125,26.21875,34.875,0.0,0.0,5.53125,0.0,0.0
21.40625,38.9375,15.375,15.25,26.84375,18.3125,26.71875,12.09375,24.8125,34.84375,0.0,0.0,5.40625,0.0,0.0
22.25,38.8125,13.78125,16.78125,26.25,18.8125,27.03125,11.5625,24.125,35.15625,0.0,0.0,5.4375,0.0,0.0
21.8125,39.46875,14.1875,15.09375,26.71875,19.71875,26.4375,12.84375,24.5,34.34375,0.0,0.0,4.875,0.0,0.0
23.34375,37.78125,12.9375,15.0,26.15625,19.6875,25.5,12.65625,25.3125,36.375,0.0,0.0,5.25,0.0,0.0
20.65625,41.0625,13.3125,15.25,26.09375,18.4375,26.59375,12.0,25.65625,35.53125,0.0,0.0,5.40625,0.0,0.0
22.28125,39.90625,13.9375,15.125,26.90625,18.5625,26.90625,11.21875,24.6875,35.40625,0.0,0.0,5.0625,0.0,0.0
22.15625,40.0,13.65625,14.25,27.0625,19.0625,26.1875,11.78125,25.5625,35.3125,0.0,0.0,4.96875,0.0,0.0
23.375,39.3125,14.125,14.15625,26.03125,19.125,26.03125,12.84375,23.75,35.53125,0.0,0.0,5.71875,0.0,0.0
21.03125,39.625,13.03125,14.15625,28.28125,17.71875,26.59375,12.6875,25.15625,36.40625,0.0,0.0,5.3125,0.0,0.0
22.40625,39.875,13.84375,15.40625,26.0625,19.6875,26.1875,12.0,23.65625,35.75,0.0,0.0,5.125,0.0,0.0
21.09375,39.71875,12.46875,15.75,26.09375,18.90625,26.6875,12.4375,25.0625,36.0625,0.0,0.0,5.71875,0.0,0.0
21.625,38.8125,13.46875,15.84375,26.84375,19.875,26.53125,12.40625,23.75,35.6875,0.0,0.0,5.15625,0.0,0.0
22.1875,39.5,12.625,15.71875,26.71875,18.96875,26.21875,11.84375,24.375,36.0625,0.0,0.0,5.78125,0.0,0.0
21.4375,39.65625,13.46875,15.0625,26.71875,19.3125,26.125,12.5625,24.65625,35.25,0.0,0.0,5.75,0.0,0.0
21.8125,38.0,14.875,15.375,27.0,19.78125,25.3125,12.34375,24.625,35.65625,0.0,0.0,5.21875,0.0,0.0
21.96875,39.21875,13.625,15.21875,26.96875,19.125,25.40625,12.625,26.0,34.53125,0.0,0.0,5.3125,0.0,0.0
22.40625,39.03125,13.875,16.21875,25.9375,19.65625,26.9375,11.6875,23.53125,35.9375,0.0,0.0,4.78125,0.0,0.0
